Machine ID,Location,Polling center,Clustered precinct,Precincts in the cluster,Abstentions,Number of registered voters,No. of voters who actually voted,No. of valid ballots cast,Turnout (%),cluster_id,Clustered Precinct Extracted
HPM180PA01052838,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PAYATAS",LUPANG PANGAKO ELEMENTARY SCHOOL,74040582,"2013N, 2013O, 2013P, 2013P1, 2013Q",2,847,592,592,69.89,74040582,74040582
HPM180PA01053091,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 83",JUAN NOLASCO HIGH SCHOOL,39010163,"0297A, 0297B, 0297C, 0298A, 0298B",0,829,603,603,72.73,39010163,39010163
HPM180PA01053170,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 264",GENERAL MAXIMINO HIZON ELEMENTARY SCHOOL,39010498,"1074D, 1075A, 1075B, 1075C, 1075D",2,736,445,445,60.46,39010498,39010498
HPM180PA01053185,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, SANTOLAN",SANTOLAN ELEMENTARY SCHOOL,74030432,"1310A, 1310B, 1311A, 1314A, 1315A, 1316A",1,974,780,780,80.08,74030432,74030432
HPM180PA01053281,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, NAVOTAS CITY, NAVOTAS WEST",NAVOTAS NATIONAL HIGH SCHOOL,75030090,"0395A, 0396A, 0397A, 0397B, 0398A, 0399A",1,841,662,662,78.71,75030090,75030090
HPM180PA01053328,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, QUIRINO 2-A",QUIRINO ELEMENTARY SCHOOL,74040660,"3934A, 3935A, 3936A, 3937A, 3938A, 3939A, 3940A",1,992,698,698,70.36,74040660,74040660
HPM180PA01053341,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, PIO DEL PILAR",PIO DEL PILAR ELEMENTARY SCHOOL (MAIN),76020145,"0476A, 0477A, 0477B, 0477C, 0478A, 0478B, 0481A",0,982,690,690,70.26,76020145,76020145
HPM180PA01053346,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 105",ANTONIO J. VILLEGAS VOCATIONAL HIGH SCHOOL,39010219,"0382S, 0382T, 0382U, 0382V, 0382W",3,825,607,607,73.57,39010219,39010219
HPM180PA01053365,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 172",MARCELA MARCELO ELEMENTARY SCHOOL,76050342,"0584A, 0584B, 0584C, 0585A, 0585B, 0585C",0,910,550,550,60.43,76050342,76050342
HPM180PA01053427,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PROJECT 6",PROJECT 6 ELEMENTARY SCHOOL,74040033,"0169A, 0170A, 0171A, 0172A, 0173A, 0174A",1,928,625,625,67.34,74040033,74040033
HPM180PA01053430,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, MAYSILO",MAYSILO ELEMENTARY SCHOOL,75020128,"0350B,0351A,0351B,0352A,0352B",1,924,647,647,70.02,75020128,75020128
HPM180PA01053511,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, NAVOTAS CITY, TANGOS NORTH",TANGOS ELEMENTARY SCHOOL (MOTHER),75030051,"0237A, 0241A, 0241B, 0242A, 0243A",0,815,668,668,81.96,75030051,75030051
HPM180PA01053520,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, LOYOLA HEIGHTS",MIRIAM COLLEGE,74040712,"4207A, 4207B, 4207C, 4208A, 4209A, 4209P1",0,644,513,513,79.65,74040712,74040712
HPM180PA01053585,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, MAYSAN",SITIO STO. ROSARIO ELEMENTARY SCHOOL,75040379,"1086B, 1087A, 1087B, 1088A, 1089A",0,945,685,685,72.48,75040379,75040379
HPM180PA01053589,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, TUGATOG",TUGATOG NATIONAL HIGH SCHOOL,75020205,"0500B,0500C,0501A,0502A,0502B",0,923,605,605,65.54,75020205,75020205
HPM180PA01053593,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, PILAR",PILAR VILLAGE ELEMENTARY SCHOOL,76010357,"0697A, 0697B, 0697C, 0698A, 0698B, 0698C, 0699A",2,969,506,506,52.21,76010357,76010357
HPM180PA01053601,"NCR, TAGUIG - PATEROS, TAGUIG, PINAGSAMA",WESTERN BICUTAN NATIONAL HIGH SCHOOL,76070429,"1143A, 1144A, 1145A, 1146A, 1147A",1,997,582,582,58.37,76070429,76070429
HPM180PA01053611,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, ORANBO",ORANBO ELEMENTARY SCHOOL,74030099,"0309A, 0310A, 0310B, 0311A, 0312A, 0312B, 0313A, 0314A",1,956,685,685,71.65,74030099,74030099
HPM180PA01053624,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, ROSARIO",ROSARIO ELEMENTARY SCHOOL,74030377,"1117B, 1118A, 1119A, 1119B, 1119C",3,993,768,768,77.34,74030377,74030377
HPM180PA01053661,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, ADDITION HILLS",JOSE FABELLA MEMORIAL SCHOOL,74010060,"0140A, 0140B, 0140C, 0140D, 0141A",2,994,662,662,66.59,74010060,74010060
HPM180PA01053697,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, MANGGAHAN","NAPICO ELEMENTARY SCHOOL,",74030257,"0778A, 0779A, 0780A, 0781A, 0781B, 0782A",4,839,642,642,76.51,74030257,74030257
HPM180PA01053800,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 35",MAYPAJO ELEM. SCHOOL,75010682,"2009A, 2010B, 2011A, 2012A, 2012B, 2013A",1,892,617,617,69.17,75010682,75010682
HPM180PA01053854,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, SANTO TOMAS",PASIG ELEMENTARY SCHOOL,74030167,"0501A, 0502A, 0503A, 0503B, 0503C",0,944,738,738,78.17,74030167,74030167
HPM180PA01053866,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, PINAGBUHATAN",PINAGBUHATAN HIGH SCHOOL,74030293,"0905A, 0906A, 0907A, 0908A, 0909A",2,996,806,806,80.92,74030293,74030293
HPM180PA01053980,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 107",AMADO V. HERNANDEZ ELEM. SCHOOL,39010223,"0388B, 0389A, 0389B, 0390A, 0390B, 0391A",1,915,659,659,72.02,39010223,39010223
HPM180PA01053993,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, KASILAWAN",MAXIMO ESTRELLA SENIOR HIGH SCHOOL,76020068,"0244A, 0244B, 0245A, 0245B, 0246A, 0246B, 0247A",1,915,664,664,72.56,76020068,76020068
HPM180PA01054001,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, PULANG LUPA DOS",LAS PIÑAS NORTH NATIONAL HIGH SCHOOL,76010089,"0223E, 0224A, 0224B, 0225A, 0225B, 0225C",1,949,522,522,55.0,76010089,76010089
HPM180PA01054031,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 181",MARCELA MARCELO ELEMENTARY SCHOOL,76050369,"0634B, 0635A, 0636A, 0636B, 0637A, 0638A, 0638B",1,918,656,656,71.45,76050369,76050369
HPM180PA01054081,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SANTA MONICA",PALMERA HOMES MULTIPURPOSE HALL,74041133,"2382A,2382B,2382C,2383A,2383B,2384A,2384B",1,869,616,616,70.88,74041133,74041133
HPM180PA01054163,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, PUTATAN",PUTATAN ELEMENTARY SCHOOL,76030011,"0019A, 0019B, 0019C, 0019D, 0019E",0,979,609,609,62.2,76030011,76030011
HPM180PA01054179,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 121",JUAN SUMULONG ELEMENTARY SCHOOL,76050279,"0423A, 0423B, 0423C, 0423D, 0423E",1,849,628,628,73.96,76050279,76050279
HPM180PA01054199,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 9",A. BONIFACIO ELEM SCH.,75010559,"1749A, 1749B, 1750A, 1750B",2,689,469,469,68.06,75010559,75010559
HPM180PA01054228,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, PASOLO",PASOLO ELEMENTARY SCHOOL,75040156,"0443A, 0443B, 0444A, 0445A, 0445B",0,868,651,651,75.0,75040156,75040156
HPM180PA01054300,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAGUMBUHAY",KALANTIAW ELEMENTARY SCHOOL,74040699,"4139A, 4140A, 4141A, 4142A",2,750,562,562,74.93,74040699,74040699
HPM180PA01054447,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, TUNASAN",STO. NIÑO VILLAGE COVERED COURT,76030201,"0374A, 0374B, 0375A, 0375B, 0376A, 0376B, 0376C",1,677,460,460,67.94,76030201,76030201
HPM180PA01054451,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, TUGATOG",EPIFANIO DELOS SANTOS ELEMENTARY SCHOOL,75020215,"0537A,0538A,0539A,0540A,0540B,0541A",0,796,578,578,72.61,75020215,75020215
HPM180PA01054524,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, BUAYANG BATO",AMADO T. REYES ELEMENTARY SCHOOL,74010109,"0310A, 0310B, 0311A, 0311B",1,696,372,372,53.44,74010109,74010109
HPM180PA01054592,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 168",DEPARO ELEM. SCHOOL,75010171,"0645A, 0645B, 0646A, 0646B, 0647A",1,961,616,616,64.09,75010171,75010171
HPM180PA01054611,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 76",PASAY WEST HIGH SCHOOL,76050070,"0314D,0315A,0315B,0315C,0315D,0315E,0315F,0315P1",0,820,401,401,48.9,76050070,76050070
HPM180PA01054625,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAESA",L.R. PASCUAL ELEMENTARY SCHOOL,74041337,"3014A, 3015A, 3016A, 3017A, 3018A",2,895,649,649,72.51,74041337,74041337
HPM180PA01054657,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 112",AMADO V. HERNANDEZ ELEM. SCHOOL,39010235,"0418A, 0418B, 0418C, 0419A, 0419B",1,955,638,638,66.8,39010235,39010235
HPM180PA01054663,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, PILAR",PILAR VILLAGE ELEMENTARY SCHOOL,76010341,"0639A, 0639B, 0640A, 0640B, 0641A",0,977,579,579,59.26,76010341,76010341
HPM180PA01054692,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, MALANDAY",MALANDAY ELEMENTARY SCHOOL,74020033,"0170B, 0171A, 0172A, 0172B, 0173A",0,980,695,695,70.91,74020033,74020033
HPM180PA01054739,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, PULANG LUPA UNO",PULANLUPA ELEMENTARY SCHOOL,76010058,"0158B, 0159A, 0159B, 0160A, 0161A",1,991,645,645,65.08,76010058,76010058
HPM180PA01054888,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 27",PASAY WEST HIGH SCHOOL,76050034,"0123A,0124A,0124B,0125A,0125B",1,570,376,376,65.96,76050034,76050034
HPM180PA01054910,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, LONGOS",IMELDA ELEMENTARY SCHOOL,75020201,"0485B,0486A,0486B,0487A,0487B",0,901,664,664,73.69,75020201,75020201
HPM180PA01054928,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 83",MORNING BREEZE ELEM. SCHOOL,75010022,"0080B, 0081A, 0081B, 0082A, 0083A",0,617,385,385,62.39,75010022,75010022
HPM180PA01055105,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, TUGATOG",TUGATOG NATIONAL HIGH SCHOOL,75020209,"0511A,0511B,0511C,0512A,0513A",1,901,672,672,74.58,75020209,75020209
HPM180PA01055287,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 116",P. ZAMORA ELEMENTARY SCHOOL,76050273,"0417A, 0417B, 0417C, 0417D, 0417E, 0417P1",2,875,657,657,75.08,76050273,76050273
HPM180PA01055425,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, KRUS NA LIGAS",CRUZ NA LIGAS ELEMENTARY SCHOOL,74040952,"5461A,5462A,5463A,5464A",0,766,577,577,75.32,74040952,74040952
HPM180PA01055530,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, TEJEROS",MAXIMO ESTRELLA ELEMENTARY SCHOOL,76020214,"0689F, 0689G, 0690A, 0690B, 0690C, 0690D, 0690E, 0690F, 0690G, 0691E",1,961,688,688,71.59,76020214,76020214
HPM180PA01055799,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SANTA TERESITA",BARANGAY COVERED COURT,74040207,"1089A, 1090A, 1091A, 1092A, 1093A, 1102A",1,928,632,632,68.1,74040207,74040207
HPM180PA01055892,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, PLAINVIEW",PLAINVIEW ELEMENTARY SCHOOL,74010226,"0807A, 0825B, 0826A, 0827A, 0828A, 0828B, 0829A, 0829B, 0830A, 0830B",0,979,647,647,66.08,74010226,74010226
HPM180PA01055938,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 51",GRACE PARK ELEM. SCHOOL (MAIN),75010710,"2095A, 2095B, 2096A, 2097A, 2098A, 2099A, 2099B, 2099P1",2,912,476,476,52.19,75010710,75010710
HPM180PA01056028,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, PINAGBUHATAN",NAGPAYONG ELEMENTARY SCHOOL,74030360,"1048A, 1048B, 1048C, 1049A, 1049B",2,997,741,741,74.32,74030360,74030360
HPM180PA01056068,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, MARULAS",VALENZUELA NATIONAL HIGH SCHOOL,75040361,"1046B, 1047A, 1047B, 1047P1",0,422,301,301,71.32,75040361,75040361
HPM180PA01056123,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, SAN BARTOLOME",SAN BARTOLOME ELEMENTARY SCHOOL,74041221,"2665B,2666A,2667A,2667B,2667C",1,977,584,584,59.77,74041221,74041221
HPM180PA01056211,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, PAMPLONA TRES",LAS PIÑAS EAST NATIONAL HIGH SCHOOL,76010126,"0307C, 0308A, 0308B, 0308C, 0308D",3,926,587,587,63.39,76010126,76010126
HPM180PA01056228,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, SANTO TOMAS",PASIG ELEMENTARY SCHOOL,74030170,"0506C, 0507A, 0507B, 0507D",3,768,509,509,66.27,74030170,74030170
HPM180PA01056234,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAGONG PAG-ASA",BAGONG PAG-ASA ELEMENTARY SCHOOL,74040016,"0074A, 0075A, 0076A, 0077A, 0078A, 0079A",0,971,609,609,62.71,74040016,74040016
HPM180PA01056399,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 177",MARCELA MARCELO ELEMENTARY SCHOOL,76050354,"0600B, 0604A, 0604C, 0605A",0,649,496,496,76.42,76050354,76050354
HPM180PA01056470,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, ALMANZA UNO",ALMANZA ELEMENTARY SCHOOL,76010302,"0595K, 0595L, 0595M, 0596A, 0596B",4,983,611,611,62.15,76010302,76010302
HPM180PA01056488,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, PEMBO",PEMBO ELEMENTARY SCHOL,76020374,"1059B, 1059C, 1060A, 1060B, 1060C, 1060D",1,962,657,657,68.29,76020374,76020374
HPM180PA01056496,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, COMMONWEALTH",DON JOSE COVERED COURT,74040475,"1799D, 1799E, 1799F, 1800A, 1800B",1,999,674,674,67.46,74040475,74040475
HPM180PA01056543,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, PITOGO",PITOGO ELEMENTARY SCHOOL,76020396,"1120B, 1121A, 1121B, 1122A, 1122B",0,883,563,563,63.75,76020396,76020396
HPM180PA01056570,"NCR, TAGUIG - PATEROS, TAGUIG, UPPER BICUTAN",SILANGAN ELEMENTARY SCHOOL,76070345,"0912A, 0913A, 0914A, 0915A, 0916A",0,979,558,558,56.99,76070345,76070345
HPM180PA01056735,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, CATMON",CATMON INTERGRATED SCHOOL,75020118,"0329A,0329B,0329C,0330A",0,744,537,537,72.17,75020118,75020118
HPM180PA01056908,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, VERGARA",ISAAC LOPEZ INTEGRATED SCHOOL,74010249,"0882A, 0882B, 0883A, 0883B, 0884A",0,904,589,589,65.15,74010249,74010249
HPM180PA01057001,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, MANGGAHAN","SAN LORENZO RUIZ ELEMENTARY SCHOOL,",74030227,"0675B, 0675P1, 0677A, 0678A",0,665,483,483,72.63,74030227,74030227
HPM180PA01057053,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, SAN MIGUEL",SAN MIGUEL ELEMENTARY SCHOOL,74030417,"1266A, 1266B, 1266C, 1267A, 1268B, 1274B",4,916,671,671,73.25,74030417,74030417
HPM180PA01057065,"NCR, TAGUIG - PATEROS, PATEROS, SANTO ROSARIO-KANLURAN",STO. ROSARIO ELEMENTARY SCHOOL,76060036,"0123A, 0124A, 0124B, 0125A, 0125B, 0126A, 0126B",0,752,556,556,73.93,76060036,76060036
HPM180PA01057608,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, DON MANUEL",AURORA ELEMENTARY SCHOOL,74040856,"4961A,4962A,4962B,4963A,4964A,4965A,4965B,4966A,4967A,4968A",1,989,664,664,67.13,74040856,74040856
HPM180PA01057621,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, CANUMAY WEST",CANUMAY WEST ELEMENTARY SCHOOL,75040037,"0071B, 0072A, 0072B, 0072C, 0072D",2,911,711,711,78.04,75040037,75040037
HPM180PA01057673,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, WEST REMBO",FORT BONIFACIO ELEMENTARY SCHOOL,76020445,"1307C, 1307D, 1307E, 1307F, 1308A",2,958,668,668,69.72,76020445,76020445
HPM180PA01057693,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, ILAYA",ILAYA ELEMENTARY SCHOOL,76010034,"0087C, 0088A, 0088B, 0089A, 0090A, 0091A, 0091B",0,864,584,584,67.59,76010034,76010034
HPM180PA01057715,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, PIO DEL PILAR",PIO DEL PILAR ELEMENTARY SCHOOL I,76020137,"0456B, 0456C, 0457A, 0457B, 0457C, 0458A, 0459A, 0459B, 0461B",3,909,614,614,67.54,76020137,76020137
HPM180PA01057789,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 183",BARANGAY HALL (BRGY 183),75010496,"1585A, 1585B, 1586A, 1587A",0,779,549,549,70.47,75010496,75010496
HPM180PA01057795,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MATANDANG BALARA",OLD BALARA ELEMENTARY SCHOOL (FORMERLY ANNEX),74040753,"4393A, 4393B, 4393C, 4393D, 4393E",1,966,667,667,69.04,74040753,74040753
HPM180PA01057811,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 176",BAGONG SILANG ELEM. SCHOOL,75010310,"1036B, 1037A, 1038A, 1039A, 1040A",3,991,679,679,68.51,75010310,75010310
HPM180PA01057999,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 89",WORLD CITI COLLEGES (FORMERLY HOLY TRINITY),75010772,"2269A, 2270A, 2271A, 2272A, 2273A",0,546,339,339,62.08,75010772,75010772
HPM180PA01058026,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, PINAGBUHATAN",ILUGIN ELEMENTARY SCHOOL,74030315,"0992B, 0993A, 0994A, 0994B, 0995A",1,986,763,763,77.38,74030315,74030315
HPM180PA01058049,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, COMMONWEALTH",COMMONWEALTH HIGH SCHOOL,74040445,"1708B, 1708C, 1708D, 1709A, 1709B",0,997,666,666,66.8,74040445,74040445
HPM180PA01058061,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, ROSARIO",ROSARIO ELEMENTARY SCHOOL,74030374,"1102B, 1103A, 1103B, 1104A, 1104B, 1105A, 1105B, 1106A, 1123A",3,986,794,794,80.52,74030374,74030374
HPM180PA01058068,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, POBLACION",MAKATI HIGH SCHOOL,76020004,"0012A, 0013A, 0013B, 0014A, 0014B, 0015A",3,860,618,618,71.86,76020004,76020004
HPM180PA01058104,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, PUNTURIN",PUNTURIN ELEMENTARY SCHOOL,75040165,"0461A, 0461B, 0462A, 0463A, 0464A",1,852,654,654,76.76,75040165,75040165
HPM180PA01058109,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, CUPANG","SAN BEDA COLLEGE,",76030327,"0643A, 0643B, 0643C, 0643D, 0643E, 0643F",0,917,534,534,58.23,76030327,76030327
HPM180PA01058132,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, PANGHULO",PANGHULO NATIONAL HIGH SCHOOL,75020081,"0258B,0258C,0259A,0260A,0261A",1,912,652,652,71.49,75020081,75020081
HPM180PA01058198,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, CANUMAY WEST",CANUMAY WEST ELEMENTARY SCHOOL,75040038,"0073A, 0074A, 0075A, 0075B, 0076A",0,882,668,668,75.73,75040038,75040038
HPM180PA01058200,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, PEMBO",PEMBO ELEMENTARY SCHOL,76020364,"1028B, 1029A, 1029B, 1029C, 1030A, 1030B",0,841,625,625,74.31,76020364,76020364
HPM180PA01058324,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, NAVOTAS CITY, TANGOS NORTH",TANGOS ELEMENTARY SCHOOL (MOTHER),75030052,"0244A, 0244B, 0244C, 0245A, 0245B",3,947,791,791,83.52,75030052,75030052
HPM180PA01058348,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, COMMONWEALTH",COMMONWEALTH ELEMENTARY SCHOOL,74040385,"1591F, 1591G, 1591H, 1591I, 1592A",2,997,675,675,67.7,74040385,74040385
HPM180PA01058381,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 134",TIMOTEO PAEZ INTEGRATED SCHOOL,39010291,"0506A, 0506B, 0507A, 0507B, 0507P1",0,614,445,445,72.47,39010291,39010291
HPM180PA01058600,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, MANGGAHAN","NAPICO ELEMENTARY SCHOOL,",74030235,"0702B, 0703A, 0704A, 0705A, 0705B, 0706A, 0707B",7,968,775,775,80.06,74030235,74030235
HPM180PA01058604,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 32",PASAY WEST HIGH SCHOOL,76050042,"0148C,0149A,0150A,0151A,0152A,0152B,0152P1",0,506,343,343,67.78,76050042,76050042
HPM180PA01058676,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 184",BARANGAY HALL COMPD.,75010498,"1590A, 1590B, 1591A, 1591B",0,690,490,490,71.01,75010498,75010498
HPM180PA01058691,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, SAN JUAN CITY, MAYTUNAS",KABAYANAN ELEMENTARY SCHOOL,74050069,"0292A, 0293A, 0294A, 0295A, 0296A, 0296P1",0,910,640,640,70.32,74050069,74050069
HPM180PA01058800,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 42",RAFAEL PALMA ELEMENTARY SCHOOL,76050194,"0198A, 0199A, 0200A, 0200B",1,596,439,439,73.65,76050194,76050194
HPM180PA01058806,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, POBLACION",MANDALUYONG HIGH SCHOOL,74010008,"0030A, 0031A, 0032A, 0033A, 0033B",0,838,552,552,65.87,74010008,74010008
HPM180PA01058945,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 39",BARANGAY HALL (BRGY. 39),75010693,"2042A, 2042B, 2042C, 2043A, 2044A, 2044B, 2045A, 2046A, 2046P1",0,716,534,534,74.58,75010693,75010693
HPM180PA01058986,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAHAY TORO",TORO HILLS ELEMENTARY SCHOOL,74040051,"0272A, 0273A, 0274A, 0275A, 0276A",2,1000,745,745,74.5,74040051,74040051
HPM180PA01059007,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BAGONG SILANGAN",BAGONG SILANGAN ELEMENTARY SCHOOL,74040482,"1812A, 1812B, 1812C, 1812D, 1812E",0,995,709,709,71.25,74040482,74040482
HPM180PA01059083,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, SOUTH CEMBO",SOUTH CEMBO ELEMENTARY SCHOOL,76020434,"1290B, 1291A, 1291B, 1291C, 1292A, 1292B",2,980,676,676,68.97,76020434,76020434
