Machine ID,Location,Polling center,Clustered precinct,Precincts in the cluster,Abstentions,Number of registered voters,No. of voters who actually voted,No. of valid ballots cast,Turnout (%),cluster_id,Clustered Precinct Extracted
HPM180PA01031130,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SUN VALLEY",A. TOLENTINO (SUN VALLEY GYM),76040309,"1024A, 1025A, 1026A, 1027B, 1028A",1,839,623,623,74.25,76040309,76040309
HPM180PA01031196,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, MANUYO DOS",LAS PIÑAS NATIONAL HIGH SCHOOL-GATCHALIAN ANNEX,76010023,"0053Q, 0053R, 0053S, 0053T, 0053U",2,981,665,665,67.78,76010023,76010023
HPM180PA01031222,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, BALINGASA",BALINGASA ELEMENTARY SCHOOL,74040197,"1034A, 1035A, 1035B, 1036A, 1037A, 1038A",3,917,667,667,72.73,74040197,74040197
HPM180PA01031271,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, DELA PAZ",DELA PAZ ELEMENTARY SCHOOL,74030203,"0604A, 0605A, 0605B, 0606A, 0606B, 0607A",0,923,691,691,74.86,74030203,74030203
HPM180PA01031292,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PAYATAS",LUPANG PANGAKO ELEMENTARY SCHOOL,74040580,"2013D, 2013E, 2013F, 2013G, 2013H",0,973,688,688,70.7,74040580,74040580
HPM180PA01031303,"NCR, TAGUIG - PATEROS, TAGUIG, CENTRAL SIGNAL VILLAGE",ENLISTED MENS SIGNAL VILLAGE ELEMENTARY SCHOOL,76070289,"0722A, 0723A, 0724A, 0725A, 0726A, 0727A",0,915,569,569,62.18,76070289,76070289
HPM180PA01031332,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MANDALUYONG, POBLACION",MANDALUYONG HIGH SCHOOL,74010003,"0009B, 0010A, 0010B, 0011A, 0012A",1,905,588,588,64.97,74010003,74010003
HPM180PA01031449,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 91",JOSE RIZAL ELEM. SCHOOL,76050093,"0374A,0375A,0375B,0375C,0375D,0375P1",1,643,470,470,73.09,76050093,76050093
HPM180PA01031480,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 222",FLORENTINO TORRES HIGH SCHOOL,39010440,"0919A, 0920A, 0922B, 0922P1",1,462,340,340,73.59,39010440,39010440
HPM180PA01031484,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, TATALON",DR. JOSEFA JARA MARTINEZ HIGH SCHOOL,74040845,"4903A,4904A,4905A,4906A,4907A,4908A",1,965,650,650,67.35,74040845,74040845
HPM180PA01031496,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, PASAY CITY, BARANGAY 164",T. PAEZ ELEMENTARY SCHOOL,76050325,"0561A, 0561B, 0561C, 0561D",5,727,560,560,77.02,76050325,76050325
HPM180PA01031596,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, KALAWAAN",KALAWAAN ELEMENTARY SCHOOL,74030078,"0236A, 0236B, 0237A, 0237B, 0237C, 0238A",1,988,748,748,75.7,74030078,74030078
HPM180PA01031627,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, POST PROPER SOUTHSIDE",FORT BONIFACIO HIGH SCHOOL,76020416,"1147E, 1148A, 1148B, 1148C, 1148D",2,955,708,708,74.13,76020416,76020416
HPM180PA01031735,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, BEL-AIR",BEL-AIR BASKETBALL COURT,76020049,"0176A, 0177A, 0177B, 0178A, 0178B, 0179A, 0179B, 0186D",2,995,667,667,67.03,76020049,76020049
HPM180PA01031766,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 109",MARIA CLARA ELEM. SCHOOL,75010803,"2356A, 2357A, 2358A, 2359A",1,518,350,350,67.56,75010803,75010803
HPM180PA01031876,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SUN VALLEY",SUN VALLEY NATIONAL HIGH SCHOOL,76040303,"1001B, 1002A, 1002B, 1003A, 1003B",1,999,754,754,75.47,76040303,76040303
HPM180PA01031935,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, PIO DEL PILAR",PIO DEL PILAR ELEMENTARY SCHOOL I,76020141,"0466G, 0467B, 0467D, 0467F, 0467G, 0467H, 0467P1",2,834,448,448,53.71,76020141,76020141
HPM180PA01031939,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, PINAGBUHATAN",PINAGBUHATAN HIGH SCHOOL,74030299,"0921E, 0921F, 0922A, 0923A, 0924A",2,994,743,743,74.74,74030299,74030299
HPM180PA01032024,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, BAMBANG",BAMBANG ELEMENTARY SCHOOL,74030021,"0074A, 0075A, 0075B, 0076A, 0076B, 0076C",3,965,784,784,81.24,74030021,74030021
HPM180PA01032065,"NCR, TAGUIG - PATEROS, PATEROS, SANTA ANA",CAPT. H. FRANCISCO ELEMENTARY SCHOOL - ANNEX,76060031,"0104A, 0105A, 0106A, 0106B, 0107A, 0107B",0,605,469,469,77.52,76060031,76060031
HPM180PA01032138,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, COMMONWEALTH",MANUEL L. QUEZON ELEMENTARY SCHOOL,74040430,"1677A, 1677B, 1677C, 1677D, 1677E",4,996,617,617,61.94,74040430,74040430
HPM180PA01032145,"NCR, TAGUIG - PATEROS, TAGUIG, SOUTH SIGNAL VILLAGE",KAPITAN JOSE CARDONES MEMORIAL ELEMENTARY SCHOOL,76070266,"0626A, 0627A, 0628A, 0628B, 0629A",0,987,712,712,72.13,76070266,76070266
HPM180PA01032183,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MAKATI, WEST REMBO",FORT BONIFACIO ELEMENTARY SCHOOL,76020451,"1320A, 1320B, 1321C, 1322A, 1322B, 1323A, 1323B, 1323C",0,938,692,692,73.77,76020451,76020451
HPM180PA01032341,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, HEN. T. DE LEON",GEN. T. DE LEON ELEMENTARY SCHOOL,75040285,"0808A, 0808B, 0809A, 0809B, 0810A",1,913,679,679,74.37,75040285,75040285
HPM180PA01032410,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, MALABON CITY, HULONG DUHAT",MALABON NATIONAL HIGH SCHOOL,75020065,"0210A,0210B,0211A,0211B,0212A",0,950,641,641,67.47,75020065,75020065
HPM180PA01032515,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF LAS PIÑAS, MANUYO DOS",GONZALO GATCHALIAN ELEMENTARY SCHOOL,76010018,"0048I, 0049A, 0050A, 0051A, 0051B",0,893,626,626,70.1,76010018,76010018
HPM180PA01032564,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, MASAMBONG",MASAMBONG ELEMENTARY SCHOOL,74040154,"0827A, 0828A, 0829A, 0830A, 0831A, 0832A, 0833A, 0834A",2,920,600,600,65.21,74040154,74040154
HPM180PA01032601,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, NANGKA",NANGKA ELEMENTARY SCHOOL,74020266,"1035A, 1035B, 1036A, 1036B, 1036C, 1037A",0,948,683,683,72.04,74020266,74020266
HPM180PA01032813,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 8",A. BONIFACIO ELEM SCH.,75010558,"1748I, 1748J, 1748P1",1,455,240,240,52.74,75010558,75010558
HPM180PA01033223,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF MARIKINA, MARIKINA HEIGHTS (CONCEPCION)",KAPITAN MOY ELEMENTARY AND MARIKINA HEIGHTS HIGH SCHOOL,74020210,"0842A, 0842B, 0843A, 0843B, 0850P1",1,959,699,699,72.88,74020210,74020210
HPM180PA01033240,"NCR, NATIONAL CAPITAL REGION - MANILA, TONDO, BARANGAY 32",ROSAURO ALMARIO ELEM. SCHOOL,39010065,"0092A, 0092B, 0093A, 0093B, 0093C, 0093P1",1,684,501,501,73.24,39010065,39010065
HPM180PA01033307,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF MUNTINLUPA, CUPANG","CUPANG ELEMENTARY SCHOOL,",76030313,"0597A, 0597B, 0598A, 0598B, 0599A, 0600A, 0601A, 0602A, 0603A, 0604A",0,952,508,508,53.36,76030313,76030313
HPM180PA01033359,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, PROJECT 6",PROJECT 6 ELEMENTARY SCHOOL,74040032,"0164A, 0165A, 0166A, 0167A, 0168A",0,917,661,661,72.08,74040032,74040032
HPM180PA01033401,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, DELA PAZ",DELA PAZ ELEMENTARY SCHOOL,74030191,"0562A, 0563A, 0564A, 0564B, 0565A, 0566A, 0567A",0,938,690,690,73.56,74030191,74030191
HPM180PA01033463,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CALOOCAN CITY, BARANGAY 94",EULOGIO RODRIGUEZ ELEM. SCHOOL,75010781,"2296A, 2297A, 2298A, 2298B, 2299A, 2299P1",0,670,353,353,52.68,75010781,75010781
HPM180PA01033465,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, ARKONG BATO",P. R. SAN DIEGO ELEMENTARY SCHOOL,75040004,"0009A, 0010A, 0011A, 0012A, 0013A",1,809,627,627,77.5,75040004,75040004
HPM180PA01033619,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, QUEZON CITY, KALIGAYAHAN",KALIGAYAHAN ELEMENTARY SCHOOL,74041096,"2249C,2250A,2251A,2251B,2252A",0,999,665,665,66.56,74041096,74041096
HPM180PA01033733,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, MARULAS",SERRANO ELEMENTARY SCHOOL,75040331,"0916A, 0917A, 0918A, 0919A, 0919B",1,900,705,705,78.33,75040331,75040331
HPM180PA01033916,"NCR, NATIONAL CAPITAL REGION - SECOND DISTRICT, CITY OF PASIG, PINAGBUHATAN",NAGPAYONG ELEMENTARY SCHOOL,74030344,"1028C, 1028D, 1029A, 1029B, 1029C",2,996,745,745,74.79,74030344,74030344
HPM180PA01033928,"NCR, NATIONAL CAPITAL REGION - THIRD DISTRICT, CITY OF VALENZUELA, MAYSAN",SITIO STO. ROSARIO ELEMENTARY SCHOOL,75040380,"1089B, 1090A, 1091A, 1092A, 1092P1",1,806,620,620,76.92,75040380,75040380
HPM180PA01033944,"NCR, NATIONAL CAPITAL REGION - FOURTH DISTRICT, CITY OF PARAÑAQUE, SAN ISIDRO",SAN ANTONIO ELEMENTARY SCHOOL-SILVERIO ANNEX,76040135,"0415A, 0415B, 0416A, 0417A, 0420P1",0,759,589,589,77.6,76040135,76040135
